context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0006109	regulation of carbohydrate metabolic process	3	AT1G44120;AT5G40360;AT5G40870	2.395	1.5585169232318266	1.2526096033402923	0.417910447761194	83	253	200	1.0
CG	gain	GO:0006139	nucleobase-containing compound metabolic process	24	AT1G21640;AT1G36180;AT1G49980;AT1G53490;AT1G66730;AT1G72550;AT1G73177;AT1G79950;AT2G01280;AT2G07690;AT2G19920;AT2G28760;AT2G40030;AT3G11964;AT3G16010;AT3G49500;AT5G39920;AT5G40870;AT5G49010;AT5G52850;AT5G52920;AT5G53060;AT5G64200;AT5G66520	65.29	7.473011441179476	0.36759074896615096	1.0	200	253	200	1.0
CG	gain	GO:0006259	DNA metabolic process	6	AT1G49980;AT1G53490;AT1G66730;AT1G79950;AT2G07690;AT5G49010	16.355	3.793280242745052	0.36686028737389176	1.0	200	253	200	1.0
CG	gain	GO:0006260	DNA replication	3	AT1G79950;AT2G07690;AT5G49010	4.84	2.0915066339842197	0.6198347107438017	0.8606965174129353	172	253	200	1.0
CG	gain	GO:0006261	DNA-templated DNA replication	3	AT1G79950;AT2G07690;AT5G49010	2.13	1.2973434394947239	1.4084507042253522	0.373134328358209	74	253	200	1.0
CG	gain	GO:0006281	DNA repair	3	AT1G49980;AT1G66730;AT1G79950	10.035	3.0420018080205	0.29895366218236175	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0006310	DNA recombination	3	AT1G53490;AT1G66730;AT1G79950	6.39	2.3511486554448235	0.4694835680751174	0.9502487562189055	190	253	200	1.0
CG	gain	GO:0006325	chromatin organization	4	AT1G49950;AT1G66040;AT2G28290;AT5G49160	15.33	3.8472197753702595	0.2609262883235486	1.0	200	253	200	1.0
CG	gain	GO:0006338	chromatin remodeling	4	AT1G49950;AT1G66040;AT2G28290;AT5G49160	13.885	3.697536341944457	0.28808066258552395	1.0	200	253	200	1.0
CG	gain	GO:0006351	DNA-templated transcription	3	AT1G73177;AT2G01280;AT2G40030	7.99	2.7165971361245287	0.37546933667083854	0.9751243781094527	195	253	200	1.0
CG	gain	GO:0006355	regulation of DNA-templated transcription	22	AT1G19850;AT1G22770;AT1G23420;AT1G27220;AT1G34170;AT1G35240;AT1G49950;AT1G71930;AT1G79950;AT2G10440;AT2G17150;AT2G25180;AT2G28290;AT2G31215;AT2G42830;AT3G12280;AT3G23690;AT3G62930;AT4G22070;AT4G32880;AT5G40360;AT5G64220	51.525	6.565011424209423	0.4269771955361475	1.0	200	253	200	1.0
CG	gain	GO:0006357	regulation of transcription by RNA polymerase II	4	AT1G49950;AT2G42830;AT3G12280;AT3G62930	7.775	2.5737861216503597	0.5144694533762058	0.9552238805970149	191	253	200	1.0
CG	gain	GO:0006396	RNA processing	7	AT2G40030;AT3G11964;AT3G16010;AT3G49500;AT5G39920;AT5G53060;AT5G64200	20.01	3.9585224516225654	0.34982508745627183	1.0	200	253	200	1.0
CG	gain	GO:0006417	regulation of translation	4	AT3G49500;AT3G59410;AT5G39900;AT5G42950	2.03	1.445371924454049	1.9704433497536948	0.14427860696517414	28	253	200	1.0
CG	gain	GO:0006457	protein folding	4	AT3G62030;AT4G24280;AT5G23040;AT5G67530	4.72	1.997898896340854	0.8474576271186441	0.7164179104477612	143	253	200	1.0
CG	gain	GO:0006468	protein phosphorylation	4	AT1G65800;AT3G59410;AT3G59700;AT5G60280	6.13	2.569649781585031	0.6525285481239804	0.8606965174129353	172	253	200	1.0
CG	gain	GO:0006508	proteolysis	4	AT1G28110;AT1G66210;AT1G71696;AT3G42550	11.615	3.5109507259430455	0.34438226431338786	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0006520	amino acid metabolic process	4	AT1G23310;AT1G72550;AT3G62030;AT5G20980	11.36	3.1922405924366055	0.35211267605633806	1.0	200	253	200	1.0
CG	gain	GO:0006629	lipid metabolic process	11	AT1G28100;AT1G31190;AT1G36180;AT1G55180;AT1G56630;AT1G71697;AT3G45140;AT5G42590;AT5G44585;AT5G52920;AT5G58700	26.92	4.442251681298563	0.4086181277860327	1.0	200	253	200	1.0
CG	gain	GO:0006631	fatty acid metabolic process	4	AT1G36180;AT3G45140;AT5G44585;AT5G52920	7.05	2.4591665254715873	0.5673758865248227	0.9502487562189055	190	253	200	1.0
CG	gain	GO:0006633	fatty acid biosynthetic process	4	AT1G36180;AT3G45140;AT5G44585;AT5G52920	4.13	2.037915601785315	0.9685230024213075	0.5970149253731343	119	253	200	1.0
CG	gain	GO:0006644	phospholipid metabolic process	3	AT1G31190;AT1G55180;AT1G71697	8.0	2.7073972741361763	0.375	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0006650	glycerophospholipid metabolic process	3	AT1G31190;AT1G55180;AT1G71697	6.165	2.342600051225134	0.48661800486618007	0.9402985074626866	188	253	200	1.0
CG	gain	GO:0006753	nucleoside phosphate metabolic process	5	AT1G21640;AT1G36180;AT2G28760;AT5G40870;AT5G52920	10.1	2.847806173179631	0.49504950495049505	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0006790	sulfur compound metabolic process	4	AT1G36180;AT3G62030;AT5G20980;AT5G44585	8.205	2.7500863622802845	0.4875076173065204	0.9751243781094527	195	253	200	1.0
CG	gain	GO:0006793	phosphorus metabolic process	8	AT1G21640;AT1G31190;AT1G36180;AT1G55180;AT1G71697;AT2G28760;AT5G40870;AT5G52920	19.675	4.180834246893788	0.40660736975857686	1.0	200	253	200	1.0
CG	gain	GO:0006796	phosphate-containing compound metabolic process	4	AT1G65800;AT3G59410;AT3G59700;AT5G60280	9.01	3.0919087955500886	0.4439511653718091	0.9751243781094527	195	253	200	1.0
CG	gain	GO:0006810	transport	33	AT1G06490;AT1G21890;AT1G31830;AT1G32450;AT1G53210;AT1G65550;AT1G66950;AT1G74770;AT2G18960;AT2G30070;AT2G30290;AT2G42005;AT2G48130;AT3G08530;AT3G10650;AT3G42640;AT3G44900;AT3G51310;AT3G56640;AT3G63380;AT4G01820;AT4G12120;AT4G17140;AT4G18050;AT4G26590;AT4G29380;AT5G05760;AT5G19600;AT5G20280;AT5G25250;AT5G37500;AT5G54310;AT5G55930	72.385	7.4657065975029715	0.4558955584720591	1.0	200	253	200	1.0
CG	gain	GO:0006811	monoatomic ion transport	9	AT1G32450;AT1G53210;AT1G74770;AT2G18960;AT2G30070;AT3G42640;AT3G44900;AT3G63380;AT5G37500	16.38	3.950392385573873	0.5494505494505495	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0006812	monoatomic cation transport	9	AT1G32450;AT1G53210;AT1G74770;AT2G18960;AT2G30070;AT3G42640;AT3G44900;AT3G63380;AT5G37500	14.22	3.700216209899091	0.6329113924050632	0.945273631840796	189	253	200	1.0
CG	gain	GO:0006813	potassium ion transport	3	AT1G32450;AT2G30070;AT5G37500	3.16	1.4813507349712958	0.9493670886075949	0.6567164179104478	131	253	200	1.0
CG	gain	GO:0006886	intracellular protein transport	4	AT2G30290;AT3G08530;AT3G56640;AT5G05760	9.59	3.176775094337024	0.4171011470281543	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0006950	response to stress	52	AT1G22770;AT1G23310;AT1G44170;AT1G49230;AT1G49980;AT1G53210;AT1G55180;AT1G64790;AT1G66730;AT1G66950;AT1G70460;AT1G71697;AT1G71930;AT1G79380;AT1G79950;AT2G18660;AT2G18960;AT2G25180;AT2G28290;AT2G39730;AT2G40030;AT2G44110;AT3G13380;AT3G17800;AT3G23150;AT3G45140;AT3G46620;AT3G47020;AT3G49500;AT3G59410;AT3G59700;AT3G62030;AT4G07390;AT4G16890;AT4G20140;AT4G24280;AT5G05170;AT5G10720;AT5G14950;AT5G19000;AT5G25250;AT5G37500;AT5G42950;AT5G44510;AT5G44585;AT5G45240;AT5G53060;AT5G53450;AT5G54310;AT5G58700;AT5G60280;AT5G64220	96.5	8.167618992093052	0.538860103626943	1.0	200	253	200	1.0
CG	gain	GO:0006952	defense response	16	AT1G64790;AT1G71930;AT1G79380;AT2G18660;AT2G40030;AT2G44110;AT3G49500;AT3G59700;AT4G16890;AT5G05170;AT5G42950;AT5G44510;AT5G44585;AT5G45240;AT5G54310;AT5G60280	30.945	5.108030442352506	0.5170463725965423	1.0	200	253	200	1.0
CG	gain	GO:0006970	response to osmotic stress	8	AT1G44170;AT1G53210;AT1G55180;AT3G62030;AT5G14950;AT5G19000;AT5G53060;AT5G53450	17.07	3.924933120449316	0.46865846514352666	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0006974	DNA damage response	3	AT1G49980;AT1G66730;AT1G79950	11.56	3.235181602321575	0.25951557093425603	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0006979	response to oxidative stress	6	AT1G22770;AT1G66730;AT1G66950;AT3G17800;AT3G62030;AT5G10720	11.57	3.351880069453558	0.5185825410544511	0.9701492537313433	194	253	200	1.0
CG	gain	GO:0006996	organelle organization	15	AT1G24490;AT1G29760;AT1G50240;AT1G53490;AT1G60770;AT1G79950;AT2G01990;AT2G34260;AT3G05520;AT3G10650;AT3G12280;AT3G16010;AT4G17220;AT4G26700;AT5G23040	38.545	5.736547306525054	0.3891555324944869	1.0	200	253	200	1.0
CG	gain	GO:0007010	cytoskeleton organization	3	AT3G05520;AT4G17220;AT4G26700	11.14	3.6797282508359195	0.26929982046678635	1.0	200	253	200	1.0
CG	gain	GO:0007049	cell cycle	8	AT1G50240;AT1G53490;AT2G01990;AT2G38220;AT3G12280;AT4G08630;AT5G05170;AT5G49160	14.94	3.6175129578206073	0.535475234270415	0.9800995024875622	196	253	200	1.0
CG	gain	GO:0007154	cell communication	15	AT1G28270;AT1G65800;AT1G79380;AT2G25180;AT3G23150;AT3G56640;AT3G62030;AT4G16890;AT5G03320;AT5G10720;AT5G44510;AT5G44585;AT5G45240;AT5G53060;AT5G58700	38.315	5.191895126059475	0.39149158293096703	1.0	200	253	200	1.0
CG	gain	GO:0007165	signal transduction	13	AT1G28270;AT1G65800;AT1G79380;AT2G25180;AT3G23150;AT3G62030;AT4G16890;AT5G03320;AT5G10720;AT5G44510;AT5G45240;AT5G53060;AT5G58700	36.495	5.178800536803876	0.3562131798876559	1.0	200	253	200	1.0
CG	gain	GO:0007275	multicellular organism development	37	AT1G19850;AT1G22770;AT1G23420;AT1G29760;AT1G32450;AT1G50240;AT1G55180;AT1G66730;AT1G73177;AT1G79950;AT2G01280;AT2G02240;AT2G25180;AT2G28290;AT2G31215;AT2G34260;AT2G38220;AT2G39730;AT2G42830;AT2G48130;AT3G11964;AT3G12280;AT3G24240;AT3G49500;AT3G56930;AT4G17220;AT4G20140;AT4G29380;AT4G32880;AT4G39110;AT5G10720;AT5G23040;AT5G40360;AT5G44585;AT5G49160;AT5G52920;AT5G54310	83.93	7.573975178200557	0.4408435601096151	1.0	200	253	200	1.0
CG	gain	GO:0007389	pattern specification process	5	AT1G19850;AT1G23420;AT2G34260;AT4G17220;AT4G20140	8.055	2.685512055456093	0.6207324643078833	0.9253731343283582	185	253	200	1.0
CG	gain	GO:0008037	cell recognition	3	AT1G65800;AT3G49500;AT3G56640	2.57	1.5668758725565983	1.1673151750972763	0.46766169154228854	93	253	200	1.0
CG	gain	GO:0008104	intracellular protein localization	6	AT1G24490;AT2G30290;AT3G08530;AT3G51310;AT3G56640;AT5G05760	15.915	3.540872067725691	0.37700282752120645	1.0	200	253	200	1.0
CG	gain	GO:0008152	metabolic process	89	AT1G04970;AT1G06490;AT1G12520;AT1G17150;AT1G21640;AT1G22650;AT1G23030;AT1G23310;AT1G28100;AT1G28110;AT1G30520;AT1G31190;AT1G32180;AT1G34360;AT1G36180;AT1G44170;AT1G49230;AT1G49980;AT1G50490;AT1G53490;AT1G55180;AT1G56630;AT1G65800;AT1G66040;AT1G66210;AT1G66730;AT1G71696;AT1G71697;AT1G71930;AT1G72550;AT1G73177;AT1G74770;AT1G79950;AT2G01280;AT2G07690;AT2G18660;AT2G19920;AT2G22450;AT2G25630;AT2G28760;AT2G38220;AT2G40030;AT3G01180;AT3G03510;AT3G10650;AT3G10900;AT3G11964;AT3G16010;AT3G42550;AT3G45140;AT3G46620;AT3G47020;AT3G49500;AT3G59100;AT3G59410;AT3G59700;AT3G60140;AT3G62030;AT4G24280;AT4G28850;AT4G29380;AT4G33330;AT4G39370;AT5G05170;AT5G07420;AT5G14950;AT5G19000;AT5G20280;AT5G20980;AT5G22030;AT5G23040;AT5G26120;AT5G39920;AT5G40850;AT5G40870;AT5G42260;AT5G42590;AT5G44585;AT5G49010;AT5G52840;AT5G52850;AT5G52920;AT5G53060;AT5G58450;AT5G58700;AT5G60280;AT5G64200;AT5G66520;AT5G67530	210.975	9.6324646378797	0.4218509302050006	1.0	200	253	200	1.0
CG	gain	GO:0008610	lipid biosynthetic process	7	AT1G28100;AT1G31190;AT1G36180;AT1G71697;AT3G45140;AT5G44585;AT5G52920	16.205	3.6541722728957393	0.4319654427645789	1.0	200	253	200	1.0
CG	gain	GO:0008652	amino acid biosynthetic process	3	AT1G23310;AT3G62030;AT5G20980	4.93	2.212487288099076	0.6085192697768763	0.8706467661691543	174	253	200	1.0
CG	gain	GO:0009056	catabolic process	8	AT1G23310;AT1G55180;AT1G74770;AT3G10900;AT3G47020;AT4G29380;AT5G07420;AT5G52920	33.675	5.12439020762474	0.23756495916852266	1.0	200	253	200	1.0
CG	gain	GO:0009057	macromolecule catabolic process	4	AT1G74770;AT3G10900;AT3G47020;AT5G07420	18.175	4.073619398029228	0.2200825309491059	1.0	200	253	200	1.0
CG	gain	GO:0009058	biosynthetic process	45	AT1G04970;AT1G06490;AT1G21640;AT1G23310;AT1G28100;AT1G30520;AT1G31190;AT1G32180;AT1G34360;AT1G36180;AT1G49980;AT1G66730;AT1G71697;AT1G72550;AT1G73177;AT2G01280;AT2G19920;AT2G22450;AT2G28760;AT2G40030;AT3G01180;AT3G10650;AT3G11964;AT3G16010;AT3G45140;AT3G49500;AT3G59100;AT3G62030;AT4G24280;AT4G33330;AT5G05170;AT5G14950;AT5G20280;AT5G20980;AT5G23040;AT5G39920;AT5G40850;AT5G40870;AT5G44585;AT5G52840;AT5G52920;AT5G53060;AT5G58450;AT5G64200;AT5G67530	102.605	7.849775474496032	0.43857511817162903	1.0	200	253	200	1.0
CG	gain	GO:0009059	macromolecule biosynthetic process	27	AT1G06490;AT1G32180;AT1G34360;AT1G49980;AT1G66730;AT1G72550;AT1G73177;AT2G01280;AT2G19920;AT2G40030;AT3G01180;AT3G10650;AT3G11964;AT3G16010;AT3G49500;AT3G59100;AT3G62030;AT4G24280;AT4G33330;AT5G05170;AT5G14950;AT5G23040;AT5G39920;AT5G53060;AT5G58450;AT5G64200;AT5G67530	59.515	6.483037482538565	0.4536671427371251	1.0	200	253	200	1.0
CG	gain	GO:0009117	nucleotide metabolic process	3	AT1G21640;AT5G40870;AT5G52920	6.645	2.368327468911343	0.4514672686230249	0.9601990049751243	192	253	200	1.0
CG	gain	GO:0009250	glucan biosynthetic process	5	AT1G06490;AT1G32180;AT3G01180;AT3G59100;AT5G05170	5.665	2.184668167022169	0.8826125330979699	0.6865671641791045	137	253	200	1.0
CG	gain	GO:0009266	response to temperature stimulus	10	AT1G22770;AT1G49230;AT1G66730;AT2G39730;AT3G47020;AT4G07390;AT4G24280;AT5G37500;AT5G53060;AT5G64220	19.835	4.166266314099472	0.5041593143433325	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0009267	cellular response to starvation	3	AT1G55180;AT1G70460;AT3G59410	4.89	2.0827625884867444	0.6134969325153374	0.8905472636815921	178	253	200	1.0
CG	gain	GO:0009292	horizontal gene transfer	3	AT4G08990;AT4G14140;AT5G49160	1.29	1.0177917272212424	2.3255813953488373	0.11940298507462686	23	253	200	1.0
CG	gain	GO:0009294	DNA-mediated transformation	3	AT4G08990;AT4G14140;AT5G49160	1.29	1.0177917272212424	2.3255813953488373	0.11940298507462686	23	253	200	1.0
CG	gain	GO:0009314	response to radiation	9	AT1G05120;AT1G22770;AT1G66730;AT2G39730;AT3G13380;AT3G17800;AT3G62030;AT5G23040;AT5G40850	25.565	4.753501341116871	0.35204380989634265	1.0	200	253	200	1.0
CG	gain	GO:0009408	response to heat	3	AT3G47020;AT4G24280;AT5G53060	8.35	2.656595565757047	0.3592814371257485	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0009409	response to cold	7	AT1G22770;AT1G49230;AT1G66730;AT2G39730;AT4G07390;AT5G37500;AT5G64220	11.665	3.2913181250070656	0.6000857265323618	0.9552238805970149	191	253	200	1.0
CG	gain	GO:0009411	response to UV	3	AT1G05120;AT1G66730;AT3G17800	3.96	1.8216476058777122	0.7575757575757576	0.7761194029850746	155	253	200	1.0
CG	gain	GO:0009414	response to water deprivation	9	AT1G44170;AT1G49230;AT2G18960;AT2G25180;AT3G13380;AT3G45140;AT3G46620;AT5G19000;AT5G37500	12.575	3.335322323254533	0.7157057654075547	0.8905472636815921	178	253	200	1.0
CG	gain	GO:0009415	response to water	9	AT1G44170;AT1G49230;AT2G18960;AT2G25180;AT3G13380;AT3G45140;AT3G46620;AT5G19000;AT5G37500	12.915	3.379019828293411	0.6968641114982579	0.9054726368159204	181	253	200	1.0
CG	gain	GO:0009416	response to light stimulus	9	AT1G05120;AT1G22770;AT1G66730;AT2G39730;AT3G13380;AT3G17800;AT3G62030;AT5G23040;AT5G40850	24.135	4.642927417050573	0.3729024238657551	1.0	200	253	200	1.0
CG	gain	GO:0009553	embryo sac development	4	AT1G50240;AT2G34260;AT3G11964;AT3G12280	6.325	2.4350308006265546	0.6324110671936759	0.8955223880597015	179	253	200	1.0
CG	gain	GO:0009555	pollen development	6	AT1G73177;AT1G79950;AT2G38220;AT3G12280;AT4G29380;AT4G39110	13.615	3.692800427859594	0.4406904149834741	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0009605	response to external stimulus	20	AT1G64790;AT1G66730;AT1G71930;AT1G79380;AT2G15480;AT2G15490;AT2G18660;AT2G40030;AT3G45140;AT3G49500;AT3G50470;AT3G59700;AT4G16890;AT4G24100;AT5G10720;AT5G42950;AT5G44510;AT5G44585;AT5G54310;AT5G60280	42.49	6.028258454976855	0.4706989879971758	1.0	200	253	200	1.0
CG	gain	GO:0009607	response to biotic stimulus	20	AT1G64790;AT1G66730;AT1G71930;AT1G79380;AT2G15480;AT2G15490;AT2G18660;AT2G40030;AT3G45140;AT3G49500;AT3G50470;AT3G59700;AT4G16890;AT4G24100;AT5G10720;AT5G42950;AT5G44510;AT5G44585;AT5G54310;AT5G60280	36.025	5.44833690221154	0.5551700208188758	1.0	200	253	200	1.0
CG	gain	GO:0009611	response to wounding	8	AT1G71697;AT1G79380;AT2G25180;AT2G28290;AT3G17800;AT3G45140;AT4G20140;AT5G44585	7.82	2.7454689945435535	1.0230179028132993	0.5323383084577115	106	253	200	1.0
CG	gain	GO:0009617	response to bacterium	11	AT1G64790;AT1G66730;AT1G79380;AT3G45140;AT3G59700;AT4G16890;AT5G10720;AT5G42950;AT5G44510;AT5G44585;AT5G54310	15.835	3.46522365800535	0.6946637196084622	0.9601990049751243	192	253	200	1.0
CG	gain	GO:0009620	response to fungus	6	AT1G71930;AT2G40030;AT3G45140;AT3G50470;AT5G42950;AT5G60280	10.58	3.233202746503843	0.5671077504725898	0.9502487562189055	190	253	200	1.0
CG	gain	GO:0009627	systemic acquired resistance	3	AT1G64790;AT2G18660;AT4G16890	2.215	1.3374509336794382	1.3544018058690745	0.34328358208955223	68	253	200	1.0
CG	gain	GO:0009628	response to abiotic stimulus	29	AT1G05120;AT1G22770;AT1G23310;AT1G44170;AT1G49230;AT1G53210;AT1G55180;AT1G66730;AT2G18960;AT2G25180;AT2G39730;AT3G13380;AT3G17800;AT3G23150;AT3G45140;AT3G46620;AT3G47020;AT3G62030;AT4G07390;AT4G24280;AT5G14950;AT5G19000;AT5G23040;AT5G25250;AT5G37500;AT5G40850;AT5G53060;AT5G53450;AT5G64220	67.415	7.100899590896852	0.4301713268560409	1.0	200	253	200	1.0
CG	gain	GO:0009651	response to salt stress	5	AT1G44170;AT1G53210;AT3G62030;AT5G14950;AT5G19000	14.075	3.529783987725031	0.3552397868561279	1.0	200	253	200	1.0
CG	gain	GO:0009653	anatomical structure morphogenesis	11	AT1G50240;AT2G25180;AT2G25630;AT2G28290;AT3G12280;AT3G24240;AT3G56640;AT3G56930;AT4G20140;AT4G32880;AT5G44585	34.79	4.971508825296393	0.3161828111526301	1.0	200	253	200	1.0
CG	gain	GO:0009664	plant-type cell wall organization	5	AT1G23720;AT3G28550;AT3G54580;AT4G20140;AT5G44585	4.58	1.9009471323527118	1.0917030567685588	0.47761194029850745	95	253	200	1.0
CG	gain	GO:0009719	response to endogenous stimulus	19	AT1G19850;AT1G30755;AT1G34170;AT1G35240;AT1G44170;AT1G71930;AT1G79380;AT2G18960;AT2G25180;AT2G39730;AT3G23150;AT3G45140;AT3G46620;AT3G62030;AT4G16890;AT4G32880;AT5G10720;AT5G37500;AT5G53060	38.935	5.735047950976509	0.4879928085270322	1.0	200	253	200	1.0
CG	gain	GO:0009725	response to hormone	19	AT1G19850;AT1G30755;AT1G34170;AT1G35240;AT1G44170;AT1G71930;AT1G79380;AT2G18960;AT2G25180;AT2G39730;AT3G23150;AT3G45140;AT3G46620;AT3G62030;AT4G16890;AT4G32880;AT5G10720;AT5G37500;AT5G53060	38.84	5.717901713041212	0.4891864057672502	1.0	200	253	200	1.0
CG	gain	GO:0009733	response to auxin	4	AT1G19850;AT1G71930;AT4G16890;AT4G32880	9.905	3.0192672952224693	0.4038364462392731	0.9850746268656716	197	253	200	1.0
CG	gain	GO:0009735	response to cytokinin	3	AT1G71930;AT2G25180;AT5G10720	3.425	1.7647591903713102	0.8759124087591241	0.6915422885572139	138	253	200	1.0
CG	gain	GO:0009737	response to abscisic acid	6	AT1G44170;AT1G71930;AT2G18960;AT3G46620;AT3G62030;AT5G37500	15.645	3.3420016457207224	0.3835091083413231	0.9950248756218906	199	253	200	1.0
CG	gain	GO:0009753	response to jasmonic acid	5	AT1G79380;AT2G39730;AT3G45140;AT5G37500;AT5G53060	6.1	2.5039968051097836	0.819672131147541	0.746268656716418	149	253	200	1.0
CG	gain	GO:0009755	hormone-mediated signaling pathway	5	AT1G79380;AT2G25180;AT3G23150;AT5G10720;AT5G53060	13.73	3.2229024186282778	0.3641660597232338	1.0	200	253	200	1.0
CG	gain	GO:0009791	post-embryonic development	22	AT1G19850;AT1G22770;AT1G23420;AT1G29760;AT1G55180;AT1G66730;AT1G73177;AT2G01280;AT2G02240;AT2G28290;AT2G31215;AT2G34260;AT2G42830;AT2G48130;AT3G12280;AT3G49500;AT4G32880;AT5G23040;AT5G40360;AT5G49160;AT5G52920;AT5G54310	49.87	6.0838392483694514	0.4411469821535994	1.0	200	253	200	1.0
CG	gain	GO:0009793	embryo development ending in seed dormancy	8	AT1G19850;AT2G01280;AT2G02240;AT2G34260;AT4G32880;AT5G23040;AT5G40360;AT5G49160	16.54	3.7159655541998777	0.4836759371221282	0.9900497512437811	198	253	200	1.0
CG	gain	GO:0009798	axis specification	3	AT1G19850;AT1G23420;AT4G20140	2.47	1.496362255605239	1.214574898785425	0.47761194029850745	95	253	200	1.0
CG	gain	GO:0009832	plant-type cell wall biogenesis	4	AT4G17220;AT4G20140;AT4G33330;AT5G05170	4.905	1.9989934967377954	0.8154943934760448	0.7512437810945274	150	253	200	1.0
